Số thứ tự,Tên đơn vị hành chính,Tỉnh/Thành phố,Chú thích,Dân số (người),Diện tích (km²),Mật độ dân số (người/km²),Số ĐVHC cấp xã
1,A Lưới,Thừa Thiên Huế,,5637,1225.2,46,18
2,An Biên,Kiên Giang,,115218,400.3,288,9
3,An Dương,Hải Phòng,,195717,104.2,1878,16
4,An Khê,Gia Lai,thị xã,65918,200.1,329,11
5,An Lão,Hải Phòng,,146712,117.7,1246,17
6,An Lão,Bình Định,,27837,696.9,40,10
7,An Minh,Kiên Giang,,11572,590.5,196,11
8,An Nhơn,Bình Định,thị xã,175709,244.5,719,15
9,An Phú,An Giang,,148615,226.2,657,14
10,Ân Thi,Hưng Yên,,134403,130,1034,21
11,Anh Sơn,Nghệ An,,116922,603.3,194,21
12,Ayun Pa,Gia Lai,thị xã,39936,287.2,139,8
13,Ba Bể,Bắc Kạn,,48325,684.1,71,15
14,Ba Chẽ,Quảng Ninh,,22103,606.5,36,8
15,Ba Đình,Hà Nội,quận,221893,9.2,24119,14
16,Ba Đồn,Quảng Bình,thị xã,106413,162.3,656,16
17,Bà Rịa,Bà Rịa – Vũng Tàu,thành phố,108701,91,1195,11
18,Bá Thước,Thanh Hóa,,100834,777.6,130,21
19,Ba Tơ,Quảng Ngãi,,59438,1137.6,52,19
20,Ba Tri,Bến Tre,,184734,367.2,503,23
21,Ba Vì,Hà Nội,,29058,423,687,31
22,Bác Ái,Ninh Thuận,,30598,1027.2,30,9
23,Bắc Bình,Bình Thuận,,129374,1868.8,69,18
24,Bắc Giang,Bắc Giang,thành phố,174229,66.6,2616,16
25,Bắc Hà,Lào Cai,,65338,683.3,96,19
26,Bắc Kạn,Bắc Kạn,thành phố,45036,136.9,329,8
27,Bạc Liêu,Bạc Liêu,thành phố,15611,175.4,890,10
28,Bắc Mê,Hà Giang,,54592,856.1,64,13
29,Bắc Ninh,Bắc Ninh,thành phố,247702,82.6,2999,19
30,Bắc Quang,Hà Giang,,11869,1105.6,107,23
31,Bắc Sơn,Lạng Sơn,,71967,699.4,103,18
32,Bắc Tân Uyên,Bình Dương,,6586,400.3,165,10
33,Bắc Trà My,Quảng Nam,,41335,847,49,13
34,Bắc Từ Liêm,Hà Nội,quận,340605,45.2,7529,13
35,Bắc Yên,Sơn La,,66784,1098.6,61,16
36,Bạch Long Vĩ,Hải Phòng,huyện đảo,624,3.1,201,0
37,Bạch Thông,Bắc Kạn,,31061,546.5,57,14
38,Bảo Lạc,Cao Bằng,,5442,920.7,59,17
39,Bảo Lâm,Cao Bằng,,65025,913.1,71,13
40,Bảo Lâm,Lâm Đồng,,11809,1463.4,81,14
41,Bảo Lộc,Lâm Đồng,thành phố,158684,233.2,680,11
42,Bảo Thắng,Lào Cai,,103262,652,158,14
43,Bảo Yên,Lào Cai,,85564,818.3,105,17
44,Bát Xát,Lào Cai,,74388,1035.5,72,21
45,Bàu Bàng,Bình Dương,,92679,340,273,7
46,Bến Cát,Bình Dương,thành phố,302782,234.4,1292,8
47,Bến Cầu,Tây Ninh,,69849,237.5,294,9
48,Bến Lức,Long An,,18166,287.9,631,15
49,Bến Tre,Bến Tre,thành phố,124499,70.6,1763,14
50,Biên Hòa,Đồng Nai,thành phố,1055414,263.6,4004,30
51,Bỉm Sơn,Thanh Hóa,thị xã,58378,63.9,914,7
52,Bình Chánh,TP Hồ Chí Minh,,705508,252.7,2792,16
53,Bình Đại,Bến Tre,,137304,427.3,321,20
54,Bình Gia,Lạng Sơn,,52689,1094.2,48,19
55,Bình Giang,Hải Dương,,119229,106.2,1123,16
56,Bình Liêu,Quảng Ninh,,31637,470.1,67,7
57,Bình Long,Bình Phước,thị xã,57598,126.2,456,6
58,Bình Lục,Hà Nam,,133046,144.2,923,17
59,Bình Minh,Vĩnh Long,thị xã,94862,93.6,1013,8
60,Bình Sơn,Quảng Ngãi,,18105,466.2,388,22
61,Bình Tân,TP Hồ Chí Minh,quận,784173,51.9,15109,10
62,Bình Tân,Vĩnh Long,,95709,158.1,605,10
63,Bình Thạnh,TP Hồ Chí Minh,quận,499164,20.8,23998,20
64,Bình Thủy,Cần Thơ,quận,142164,71.1,1999,8
65,Bình Xuyên,Vĩnh Phúc,,131013,148.5,882,13
66,Bố Trạch,Quảng Bình,,188375,2115.5,89,28
67,Bù Đăng,Bình Phước,,140077,1501.2,93,16
68,Bù Đốp,Bình Phước,,57311,381.5,150,7
69,Bù Gia Mập,Bình Phước,,85013,1064.3,80,8
70,Buôn Đôn,Đắk Lắk,,64251,1410.4,46,7
71,Buôn Hồ,Đắk Lắk,thị xã,98732,282.5,349,12
72,Buôn Ma Thuột,Đắk Lắk,thành phố,37559,377.2,996,21
73,Cà Mau,Cà Mau,thành phố,226372,249.2,908,17
74,Cái Bè,Tiền Giang,,292738,416.4,703,25
75,Cai Lậy,Tiền Giang,thị xã,125615,141,891,16
76,Cai Lậy,Tiền Giang,,193328,294.8,656,16
77,Cái Nước,Cà Mau,,136638,417.1,328,11
78,Cái Răng,Cần Thơ,quận,105393,66.8,1578,7
79,Cẩm Giàng,Hải Dương,,14781,110.1,1343,17
80,Cẩm Khê,Phú Thọ,,139424,233.9,596,24
81,Cam Lâm,Khánh Hòa,,108979,547.2,199,14
82,Cẩm Lệ,Đà Nẵng,quận,159295,35.8,445,6
83,Cam Lộ,Quảng Trị,,47777,344.5,139,8
84,Cẩm Mỹ,Đồng Nai,,139362,468.6,297,13
85,Cẩm Phả,Quảng Ninh,thành phố,190232,386.5,492,16
86,Cam Ranh,Khánh Hòa,thành phố,130814,327,400,15
87,Cẩm Thủy,Thanh Hóa,,110091,424.5,259,17
